area,area_filled,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,feret_diameter_max,intensity_max,intensity_mean,intensity_min,perimeter,solidity
3.941176470588236,3.941176470588236,0.4221615129691614,0.353193343928129,0.5477671282503496,0.3841745059648215,0.4479866532861122,151.0,91.09701492537312,47.0,42.21320343559643,0.9241379310344828
0.1,0.1,0.086833909022057,0.0255317888905013,0.9557961393962536,0.0504626504404032,0.0824621125123532,128.0,99.8,81.0,4.207106781186548,0.8333333333333334
0.2647058823529412,0.2647058823529412,0.1124486963012108,0.0960584212856148,0.5198752449100362,0.0995628676848981,0.1212678125181664,255.0,180.55555555555557,56.0,8.035533905932738,0.75
0.088235294117647,0.088235294117647,0.0960584212856148,0.0,1.0,0.057482648459167,0.088235294117647,151.0,128.0,115.0,1.0,1.0
12.676470588235292,12.676470588235292,1.6159488544990004,0.4310723862506915,0.963762670505207,0.6889929488372523,1.4438750245451268,232.0,143.13457076566127,32.0,122.01828996322962,0.6661514683153014
0.088235294117647,0.088235294117647,0.0679235610811324,0.0392156862745098,0.816496580927726,0.057482648459167,0.065766705220582,101.0,91.0,76.0,3.414213562373095,1.0
10.588235294117649,10.588235294117649,1.7444381676306993,0.4451776984394287,0.9668887293370156,0.6296908645245075,1.655963324736382,151.0,61.93333333333333,20.0,169.2670273047588,0.565149136577708
95.52941176470588,95.52941176470588,4.146536299667095,0.9369203709588384,0.9741383134984584,1.8914033441127625,4.43571928060514,137.0,63.31434729064039,20.0,383.770598642227,0.8581241743725231
1.2058823529411764,1.2058823529411764,0.3438108924578581,0.1393267405236931,0.9142092880865342,0.2125044704071637,0.3353457132644523,105.0,73.97560975609755,43.0,25.899494936611664,0.8723404255319149
241.55882352941177,250.2058823529412,10.70275657053492,1.218831893271036,0.9934944909613672,3.0076483215949037,10.378519538935658,174.0,93.16120784122732,22.0,1177.0163773909258,0.5730932942572047
0.5294117647058824,0.5294117647058824,0.2658368171597904,0.0968786171781547,0.931231218037648,0.1408031577887409,0.2371252278911338,172.0,124.61111111111111,71.0,15.242640687119284,0.75
1.4705882352941178,1.4705882352941178,0.3253181799212091,0.1903573005743566,0.8109309139852032,0.2346719296479016,0.3353457132644523,114.0,94.46,72.0,28.59188309203678,0.8620689655172413
4.176470588235294,4.176470588235294,0.6355399077674088,0.2787503167726208,0.8986804610761566,0.3954761653547048,0.694142571835644,139.0,68.97887323943662,35.0,55.21320343559643,0.7888888888888889
0.08,0.08,0.0894427190999915,0.0,1.0,0.0451351666838205,0.08,108.0,98.75,94.0,2.0,1.0
0.1764705882352941,0.1764705882352941,0.2009206032541097,0.0,1.0,0.0812927410520789,0.1764705882352941,107.0,69.66666666666667,49.0,4.0,1.0
0.16,0.16,0.0901578782750712,0.0420898679605607,0.8843384945005575,0.0638307648642292,0.0894427190999915,128.0,121.375,117.0,8.242640687119284,1.0
0.0294117647058823,0.0294117647058823,0.0,0.0,0.0,0.0331876225616327,0.0294117647058823,147.0,147.0,147.0,0.0,1.0
9.147058823529411,9.147058823529411,0.776521458480346,0.5378257242062346,0.7213132610900023,0.5852700988366357,0.8828430011649196,160.0,105.79421221864952,41.0,82.76955262170047,0.8077922077922078
8.08,8.08,2.062696409456467,0.1796196823490581,0.996201318473646,0.4536028113109555,1.8604300578092152,196.0,125.3019801980198,74.0,204.9827560572969,0.4208333333333333
0.1470588235294117,0.1470588235294117,0.1663780661615406,0.0,1.0,0.0742097800594164,0.1470588235294117,77.0,73.2,70.0,3.0,1.0
1.1176470588235294,1.1176470588235294,0.3498660314462942,0.135428282947309,0.9220435669923284,0.2045822452441779,0.3429971702850177,118.0,70.13157894736842,25.0,25.899494936611667,0.8444444444444444
22.06,22.06,1.1165155942081908,0.601898944202333,0.8422501415853405,0.7495020261061032,1.108873302050329,165.0,104.04805077062557,74.0,182.4386001800126,0.752387448840382
5.382352941176471,5.382352941176471,0.7834393504352534,0.4586231004946109,0.810746736099514,0.4489538364984656,0.7440653318043245,196.0,104.95081967213116,48.0,85.25483399593904,0.6310344827586207
0.04,0.04,0.04,0.0,1.0,0.0319153824321146,0.04,126.0,118.5,111.0,0.0,1.0
0.1176470588235294,0.1176470588235294,0.1376531108000322,0.0307866019349382,0.9746687158738292,0.0663752451232654,0.1212678125181664,97.0,74.75,55.0,2.2071067811865475,0.8
0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.0663752451232654,0.0588235294117647,66.0,66.0,66.0,0.0,1.0
0.6764705882352942,0.6764705882352942,0.2448158507180608,0.1039857480129125,0.9053102727794832,0.1591622464648826,0.2512942278034568,176.0,126.56521739130434,68.0,17.65685424949238,0.9583333333333334
41.794117647058826,41.794117647058826,2.984843465796807,0.6322310956485235,0.9773100356544884,1.2510457193595732,2.930569107548506,108.0,64.24278676988037,18.0,271.8294731452727,0.7428123366440146
0.0294117647058823,0.0294117647058823,0.0,0.0,0.0,0.0331876225616327,0.0294117647058823,120.0,120.0,120.0,0.0,1.0
99.32352941176472,99.38235294117646,8.82321499939201,1.1306057054564098,0.99175610475634,1.9285978247674629,8.11050410372925,195.0,116.41101569440332,36.0,825.2752160002217,0.3305599060297572
0.3235294117647059,0.3235294117647059,0.1627759566407352,0.1027880595071564,0.77540067832748,0.1100708917208692,0.1583872002098383,147.0,117.9090909090909,74.0,9.207106781186548,0.6875
2.411764705882353,2.411764705882353,0.5458938425282905,0.2502378942759285,0.8887458447498836,0.300526704114723,0.5136543881344994,243.0,132.17073170731706,72.0,45.7634559672906,0.640625
